,y,N,i,d,K,x
547,1.004,4905,0,0,2,2
548,0.405,4905,0,1,2,2
549,0.584,4905,0,1,2,2
550,2.324,4905,0,0,2,2
551,1.469,4905,0,0,2,2
552,0.30000000000000004,4905,0,0,2,2
553,1.171,4905,0,1,2,2
554,0.629,4905,0,1,2,2
555,4.725,4905,1,1,2,2
556,1.5310000000000001,4905,0,1,2,2
557,0.374,4905,0,1,2,2
558,4.029,4905,1,0,2,2
559,1.082,4905,1,0,2,2
560,0.449,4905,1,0,2,2
561,0.075,4905,1,0,2,2
562,0.152,4905,1,0,2,2
563,0.36,4905,1,0,2,2
564,0.315,4905,1,0,2,2
565,0.765,4905,0,0,2,2
566,0.8089999999999999,4905,0,0,2,2
567,0.165,4905,0,0,2,2
568,0.15,4905,0,0,2,2
569,1.186,4905,0,0,2,2
570,0.329,4905,0,0,2,2
571,0.301,4905,1,0,2,2
572,0.765,4905,1,0,2,2
573,1.066,4905,1,0,2,2
574,0.34600000000000003,4905,1,0,2,2
575,0.164,4905,1,0,2,2
576,0.598,4905,1,0,2,2
577,0.28600000000000003,4905,1,0,2,2
578,0.869,4905,0,1,2,2
579,0.28700000000000003,4905,0,1,2,2
580,2.1900000000000004,4905,0,1,2,2
581,0.373,4905,0,1,2,2
582,0.72,4905,1,1,2,2
583,0.373,4905,1,1,2,2
584,0.134,4905,1,1,2,2
585,0.089,4905,1,1,2,2
586,0.779,4905,0,1,2,2
587,0.149,4905,0,1,2,2
588,0.87,4905,1,1,2,2
589,0.361,4905,1,1,2,2
590,0.136,4905,1,0,2,2
591,0.225,4905,1,0,2,2
592,0.225,4905,1,0,2,2
593,0.135,4905,1,0,2,2
594,0.48000000000000004,4905,1,1,2,2
595,0.614,4905,1,1,2,2
596,0.224,4905,1,1,2,2
597,0.8700000000000001,4905,0,0,2,2
598,1.588,4905,0,1,2,2
599,1.201,4905,1,0,2,2
600,0.224,4905,1,0,2,2
601,0.66,4905,0,0,2,2
602,0.5700000000000001,4905,1,0,2,2
603,0.195,4905,1,0,2,2
604,0.075,4905,0,1,2,2
605,1.8610000000000002,4905,1,0,2,2
606,0.302,4905,1,0,2,2
607,0.209,4905,0,1,2,2
608,0.419,4905,0,1,2,2
609,1.696,4905,0,1,2,2
610,0.331,4905,0,1,2,2
611,0.135,4905,1,1,2,2
612,1.02,4905,1,1,2,2
613,0.479,4905,1,1,2,2
614,0.69,4905,1,1,2,2
615,0.241,4905,1,0,2,2
616,0.435,4905,1,0,2,2
617,0.631,4905,1,0,2,2
618,2.801,4905,0,0,2,2
619,1.979,4905,1,0,2,2
620,1.126,4905,1,1,2,2
621,0.465,4905,0,0,2,2
622,0.329,4905,0,0,2,2
623,1.4689999999999999,4905,1,1,2,2
624,0.20800000000000002,4905,1,1,2,2
625,0.496,4905,1,0,2,2
626,0.179,4905,1,0,2,2
627,0.061,4905,0,0,2,2
628,0.884,4905,0,0,2,2
629,0.675,4905,1,0,2,2
630,0.63,4905,1,0,2,2
631,0.511,4905,0,0,2,2
632,0.254,4905,0,0,2,2
633,0.21,4905,1,0,2,2
634,0.21,4905,0,1,2,2
635,0.614,4905,0,0,2,2
636,0.30000000000000004,4905,0,0,2,2
637,1.02,4905,0,0,2,2
638,1.604,4905,0,1,2,2
639,0.405,4905,1,0,2,2
640,0.5690000000000001,4905,1,0,2,2
641,0.795,4905,1,0,2,2
642,0.28500000000000003,4905,1,0,2,2
643,1.7990000000000002,4905,1,0,2,2
644,1.2730000000000001,4905,1,0,2,2
645,0.18,4905,1,0,2,2
646,0.106,4905,1,0,2,2
647,0.106,4905,1,0,2,2
648,0.361,4905,1,0,2,2
649,0.644,4905,1,0,2,2
650,0.225,4905,0,0,2,2
651,0.41800000000000004,4905,0,0,2,2
652,2.084,4905,0,0,2,2
653,0.375,4905,1,0,2,2
654,0.136,4905,1,0,2,2
655,0.5690000000000001,4905,1,0,2,2
656,0.93,4905,0,1,2,2
657,0.192,4905,0,1,2,2
658,1.9480000000000002,4905,1,0,2,2
659,0.179,4905,1,0,2,2
660,0.497,4905,1,0,2,2
661,0.134,4905,1,0,2,2
662,0.121,4905,1,0,2,2
663,0.121,4905,1,0,2,2
664,0.11800000000000001,4905,1,0,2,2
665,0.166,4905,1,0,2,2
666,0.853,4905,0,1,2,2
667,0.315,4905,0,1,2,2
668,0.9870000000000001,4905,0,1,2,2
669,0.124,4905,1,0,2,2
670,0.32499999999999996,4905,1,0,2,2
671,0.253,4905,1,0,2,2
672,0.121,4905,1,0,2,2
673,0.41500000000000004,4905,1,0,2,2
674,0.6990000000000001,4905,1,1,2,2
675,0.15,4905,1,1,2,2
676,1.109,4905,1,1,2,2
677,3.9890000000000003,4905,1,1,2,2
678,1.6039999999999999,4905,1,1,2,2
679,0.15,4905,1,1,2,2
680,0.105,4905,0,0,2,2
681,0.15,4905,0,0,2,2
682,1.08,4905,0,1,2,2
683,0.18,4905,0,1,2,2
684,0.254,4905,0,1,2,2
685,1.633,4905,0,1,2,2
686,0.268,4905,1,0,2,2
687,0.226,4905,1,0,2,2
688,0.24,4905,1,0,2,2
689,1.004,4905,0,0,2,2
690,0.314,4905,1,1,2,2
691,0.6930000000000001,4905,1,1,2,2
692,2.397,4905,1,1,2,2
693,0.24,4905,1,1,2,2
694,0.18,4905,1,1,2,2
695,1.76,4905,1,1,2,2
